playerID,playerName,byeWeek,passingAtt,passingCmp,passingYds,passingTD,passingInt,passing2pt,rushingAtt,rushingYds,rushingTD,rushing2pt,receivingRec,receivingYds,receivingTD,receiving2pt,fumbleLost,fumbleTD
266,JuJu Smith-Schuster,6,0,0,0,0,0,0,0,0,0,0,18,231,2,0,0,0
267,Nelson Agholor,14,0,0,0,0,0,0,0,0,0,0,14,231,2,0,0,0
268,Tyler Goodson,14,0,0,0,0,0,0,32,153,1,0,11,61,1,0,0,0
269,Lil'Jordan Humphrey,14,0,0,0,0,0,0,0,0,0,0,31,293,1,0,1,0
270,Dare Ogunbowale,14,0,0,0,0,0,0,30,112,0,0,19,198,1,0,0,0
271,Tommy Tremble,11,0,0,0,0,0,0,0,0,0,0,23,234,2,0,1,0
272,Mike Williams,9,0,0,0,0,0,0,0,0,0,0,21,298,1,0,0,0
273,Christian McCaffrey,9,0,0,0,0,0,0,50,202,0,0,15,146,0,0,1,0
274,Hassan Haskins,5,0,0,0,0,0,0,34,89,2,0,3,49,1,0,1,0
275,Christopher Rodriguez,14,0,0,0,0,0,0,35,173,2,0,1,12,0,0,0,0
276,Trey Sermon,14,0,0,0,0,0,0,56,159,2,0,16,99,0,0,0,0
277,Josh Whyle,5,0,0,0,0,0,0,0,0,0,0,28,248,1,1,0,0
278,Adonai Mitchell,14,1,1,24,0,0,0,4,6,0,0,23,312,0,0,1,0
279,Kenny Pickett,5,42,25,291,2,1,0,9,15,1,0,0,0,0,0,0,0
280,Curtis Samuel,12,0,0,0,0,0,0,5,14,0,0,31,253,1,0,0,0
281,Adam Trautman,14,0,0,0,0,0,0,0,0,0,0,13,188,2,0,0,0
282,Jordan Whittington,6,0,0,0,0,0,0,2,12,0,0,22,293,0,0,0,0
283,Cedrick Wilson,12,1,1,21,1,0,0,0,0,0,0,20,211,1,0,1,0
284,John Metchie,14,0,0,0,0,0,0,0,0,0,0,24,254,1,0,0,0
285,Luke Schoonmaker,7,0,0,0,0,0,0,0,0,0,0,27,241,1,0,0,0
286,Nick Vannett,5,0,0,0,0,0,0,0,0,0,0,17,135,3,0,0,0
287,Elijah Higgins,11,0,0,0,0,0,0,0,0,0,0,20,172,2,0,0,0
288,Nate Adkins,14,0,0,0,0,0,0,0,0,0,0,14,115,3,0,0,0
289,Christopher Brooks,10,0,0,0,0,0,0,36,183,1,0,11,69,0,0,0,0
290,Desmond Ridder,10,85,52,458,2,2,0,9,36,0,0,0,0,0,0,2,0
291,Tyrod Taylor,12,22,17,119,3,0,1,3,13,0,0,0,0,0,0,0,0
292,D.J. Turner,10,0,0,0,0,0,0,5,33,1,0,16,158,1,0,0,0
293,Michael Carter,11,0,0,0,0,0,0,35,131,1,0,11,57,0,0,0,0
294,Jimmy Garoppolo,6,41,27,334,2,1,0,2,5,0,0,0,0,0,0,0,0
295,Josh Reynolds,12,0,0,0,0,0,0,0,0,0,0,13,194,1,0,0,0
296,Patrick Taylor,9,0,0,0,0,0,0,39,183,1,0,3,25,0,0,0,0
297,Kimani Vidal,5,0,0,0,0,0,0,43,155,0,0,5,62,1,0,0,0
298,Malik Washington,6,0,0,0,0,0,0,5,25,1,0,26,223,0,0,1,0
299,John Mundt,6,0,0,0,0,0,0,0,0,0,0,19,142,2,0,0,0
300,Tylan Wallace,14,0,0,0,0,0,0,0,0,0,0,11,193,1,0,0,0
301,Zamir White,10,0,0,0,0,0,0,65,183,1,0,6,30,0,0,2,0
302,Ryan Miller,11,0,0,0,0,0,0,0,0,0,0,12,128,2,0,0,0
303,Joe Milton,14,29,22,241,1,0,0,10,16,1,0,0,0,0,0,1,0
304,Cordarrelle Patterson,9,0,0,0,0,0,0,32,135,0,0,12,80,1,0,1,0
305,Jalen Brooks,7,0,0,0,0,0,0,0,0,0,0,12,177,1,0,0,0
306,Derius Davis,5,0,0,0,0,0,0,12,39,0,0,13,112,2,0,0,0
307,Payne Durham,11,0,0,0,0,0,0,0,0,0,0,11,115,2,0,0,0
308,D'Onta Foreman,10,0,0,0,0,0,0,71,232,0,0,6,54,0,0,1,0
309,Malik Heath,10,0,0,0,0,0,0,0,0,0,0,10,97,2,0,0,0
310,Kendre Miller,12,0,0,0,0,0,0,39,148,1,0,5,33,0,0,0,0
311,Darnell Washington,9,0,0,0,0,0,0,0,0,0,0,19,200,1,0,0,0
312,Trey Palmer,11,0,0,0,0,0,0,0,0,0,0,12,172,1,0,0,0
313,Mitchell Trubisky,12,26,19,179,2,0,0,17,1,0,0,0,0,0,0,0,0
314,Jamaal Williams,12,0,0,0,0,0,0,48,164,1,0,9,57,0,0,0,0
315,Brock Wright,5,0,0,0,0,0,0,0,0,0,0,13,100,2,0,0,0
316,Mo Alie-Cox,14,0,0,0,0,0,0,0,0,0,0,12,147,1,0,0,0
317,Blake Corum,6,0,0,0,0,0,0,58,207,0,0,7,58,0,0,0,0
318,Sincere McCormick,10,0,0,0,0,0,0,39,183,0,0,6,29,0,0,0,0
319,Ja'Lynn Polk,14,0,0,0,0,0,0,1,0,0,0,12,87,2,0,0,0
320,Stone Smartt,5,0,0,0,0,0,0,0,0,0,0,16,208,0,0,1,0
321,Jaylen Wright,6,0,0,0,0,0,0,68,249,0,0,3,8,0,0,1,0
322,Jahan Dotson,5,0,0,0,0,0,0,1,13,0,0,19,216,0,0,0,0
323,Tyler Higbee,6,0,0,0,0,0,0,0,0,0,0,8,66,2,0,0,0
324,D'Ernest Johnson,12,0,0,0,0,0,0,32,143,0,0,12,96,0,0,0,0
325,Ty Chandler,6,0,0,0,0,0,0,56,182,0,0,6,42,0,0,0,0
326,Jamison Crowder,14,0,0,0,0,0,0,0,0,0,0,9,72,2,0,1,0
327,Mecole Hardman,6,0,0,0,0,0,0,5,62,1,0,12,90,0,0,0,0
328,Khalil Herbert,12,0,0,0,0,0,0,36,130,1,0,10,25,0,0,0,0
329,Khadarel Hodge,12,0,0,0,0,0,0,0,0,0,0,7,131,1,0,0,0
330,Tanner Hudson,12,0,0,0,0,0,0,1,1,0,0,19,154,1,0,1,0
331,Charlie Kolar,14,0,0,0,0,0,0,1,2,0,0,9,131,1,0,0,0
332,Jerrod Means,12,0,0,0,0,0,0,0,0,0,0,9,118,1,0,0,0
333,Dante Pettis,12,0,0,0,0,0,0,0,0,0,0,12,120,1,1,0,0
334,Michael Burton,14,0,0,0,0,0,0,7,8,1,0,10,65,1,0,0,0
335,JaMycal Hasty,14,0,0,0,0,0,0,20,69,0,0,10,59,1,0,0,0
336,Pierre Strong,10,0,0,0,0,0,0,26,108,0,0,14,104,0,0,0,0
337,Erick All,12,0,0,0,0,0,0,0,0,0,0,20,158,0,0,0,0
338,Ashton Dulin,14,0,0,0,0,0,0,5,45,0,0,2,67,1,0,0,0
339,Kylen Granson,14,0,0,0,0,0,0,0,0,0,0,14,182,0,0,0,0
340,Kenny McIntosh,10,0,0,0,0,0,0,31,172,0,0,3,22,0,0,0,0
341,Andrew Ogletree,14,0,0,0,0,0,0,0,0,0,0,9,109,1,0,0,0
342,Craig Reynolds,5,0,0,0,0,0,0,31,139,0,0,3,40,0,0,0,0
343,Cade Stover,14,0,0,0,0,0,0,0,0,0,0,15,133,1,0,0,0
344,Robert Woods,14,0,0,0,0,0,0,0,0,0,0,20,203,0,0,1,0
345,Tim Boyle,11,50,27,276,1,1,0,3,9,0,0,0,0,0,0,0,0
346,Patrick Ricard,14,0,0,0,0,0,0,0,0,0,0,3,22,1,0,0,1
347,Eric Saubert,9,0,0,0,0,0,0,0,0,0,0,11,97,1,0,0,0
348,Jake Bobo,10,0,0,0,0,0,0,0,0,0,0,13,107,1,0,0,0
349,Tommy DeVito,11,44,31,257,0,0,0,8,32,0,0,0,0,0,0,0,0
350,Jake Haener,12,39,18,226,1,1,0,11,22,0,0,0,0,0,0,0,0
351,Alec Ingold,6,0,0,0,0,0,0,10,17,1,0,11,96,0,0,1,0
352,Lucas Krull,14,0,0,0,0,0,0,0,0,0,0,19,152,0,0,0,0
353,Michael Mayer,10,0,0,0,0,0,0,0,0,0,0,21,156,0,0,0,0
354,Jonathan Mingo,7,0,0,0,0,0,0,2,5,0,0,17,167,0,0,1,0
355,Drew Sample,12,0,0,0,0,0,0,1,-4,0,0,20,109,1,0,0,0
356,Tyrell Shavers,12,0,0,0,0,0,0,0,0,0,0,1,69,1,0,0,0
357,Dorian Thompson-Robinson,10,118,61,440,0,6,0,21,122,0,0,0,0,0,0,1,0
358,Kevin Austin,12,0,0,0,0,0,0,1,9,0,0,11,151,0,0,0,0
359,Tony Jones,11,0,0,0,0,0,0,4,55,1,0,0,0,0,0,0,0
360,Luke McCaffrey,14,0,0,0,0,0,0,0,0,0,0,18,168,0,0,0,0
361,Carson Steele,6,0,0,0,0,0,0,56,183,0,0,7,26,0,0,2,0
362,DeeJay Dallas,11,0,0,0,0,0,0,9,49,0,0,3,11,1,0,0,0
363,Rakim Jarrett,11,0,0,0,0,0,0,0,0,0,0,9,124,0,0,0,0
364,Trey Lance,7,41,25,266,0,1,0,11,41,0,0,0,0,0,0,0,0
365,Tay Martin,5,0,0,0,0,0,0,0,0,0,0,1,49,1,0,0,0
366,Jordan Mims,12,0,0,0,0,0,0,20,70,0,0,12,71,0,0,0,0
367,K.J. Osborn,14,0,0,0,0,0,0,0,0,0,0,7,57,1,0,0,0
